"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Continent,Region name,Focal Year: EA082 House construction: shape of roof,Code: EA082 House construction: shape of roof,Description: EA082 House construction: shape of roof,Comment: EA082 House construction: shape of roof,Subcase: EA082 House construction: shape of roof,References: EA082 House construction: shape of roof,Variable: Monthly Mean Precipitation (mm),Comment: Monthly Mean Precipitation (mm)
Ethnographic Atlas,Neapolitans,Ce5,xd532,Neapolitians (Ce5),40.89,14.25,41.0,13.0,neap1235,Neapolitan,nap,Indo-European,EUROPE,Southeastern Europe,1960,7,Flat or horizontal,,with special reference to the inhabitants of the city of Naples and its immediate environs,Parsons(1964); ,59.39216667,
Ethnographic Atlas,Copper Inuit,Na3,xd1022,Copper Eskimo (Na3),69.0,-110.0,69.0,-110.0,copp1244,Copper Inuktitut,,Eskimo-Aleut,NORTHERN AMERICA,Subarctic America,1920,2,Dome shaped or hemispherical,,Coronation Gulf,Rasmussen(1932); Stefansson(1914); Jenness(1917); Jenness(1922); Jenness(1928); ,9.951666667,
Ethnographic Atlas,Vugusu,Ad41,xd111,Vugusu (Ad41),1.0,35.0,1.0,35.0,buku1249,Bukusu,bxk,Atlantic-Congo,AFRICA,East Tropical Africa,1930,4,Conical,,,Wagner(1939); Wagner(1940); Wagner(1949-50); ,84.8985,
Ethnographic Atlas,Lepcha,Ee3,xd655,Lepcha (Ee3),28.0,89.0,28.0,89.0,lepc1244,Lepcha,lep,Sino-Tibetan,ASIA-TEMPERATE,China,1930,8,"Gabled, i.e., with two slopes",,Lingthem and vicinity,Das and Banerjee(1962); Gorer(1938); Morris(1938); ,92.0285,
Ethnographic Atlas,Sahel,Cd19,xd517,Sahel (Cd19),35.0,10.94,35.0,11.0,sahi1245,Sahil,,Afro-Asiatic,AFRICA,Northern Africa,1920,7,Flat or horizontal,,,Despois(1940); Ubach et al.(1923); ,19.4085,
Ethnographic Atlas,Chamorro,If8,xd839,Chamorro (If8),15.13,145.71,15.0,145.0,cham1312,Chamorro,cha,Austronesian,PACIFIC,Northwestern Pacific,1950,8,"Gabled, i.e., with two slopes",,with special reference to those of Saipa,Spoehr(1954); Joseph and Murray(1951); ,547.9481667,
Ethnographic Atlas,Ancient Khmer,Ej15,xd722,Khmer (Ej15),13.0,104.0,13.0,104.0,nucl1298,Nuclear Central Khmer,,Austroasiatic,ASIA-TROPICAL,Indo-China,1292,8,"Gabled, i.e., with two slopes",,with special reference to the city and environs of Angkor Wat in 1292,Briggs(1951); Pelliot(1951); Groslier(1956); ,122.2686667,
Ethnographic Atlas,Turks,Ci5,xd581,Turks (Ci5),38.0,30.0,38.0,30.0,nucl1301,Nuclear Turkish,tur,Turkic,ASIA-TEMPERATE,Western Asia,1950,8,"Gabled, i.e., with two slopes",,Northern Anatolian Plateau,Makal(1954); Lerner(1958); Pierce(1964); Hanson(1955); Stirling(1953); Stirling(1963); Stirling(1965); Yasa(1957); ,42.68766667,
Ethnographic Atlas,Basketo,Ca28,xd435,Basketo (Ca28),6.0,37.0,6.0,37.0,bask1236,Basketo,bst,Ta-Ne-Omotic,AFRICA,Northeast Tropical Africa,1950,4,Conical,,,Cerulli(1956); Jensen(1959); ,102.6308333,
Ethnographic Atlas,Gidjingali,Id11,xd774,Gidjingali (Id11),-12.29,134.32,-12.0,135.0,gunn1248,Gun-narda,,Maningrida,AUSTRALASIA,Australia,1950,1,Rounded or semi-cylindrical,,,Hiatt(1965); ,99.30933333,
Ethnographic Atlas,Basari,Ag48,xd286,Basari (Ag48),9.0,1.0,9.0,1.0,ntch1242,Ntcham,bud,Atlantic-Congo,AFRICA,West Tropical Africa,1890,4,Conical,,,Klose(1903); Froelich et al.(1963); Zech(1899); Klose(1899); ,102.548,
Ethnographic Atlas,Luchazi,Ac27,xd52,Luchazi (Ac27),-13.0,23.0,-13.0,23.0,luch1239,Luchazi,lch,Atlantic-Congo,AFRICA,South Tropical Africa,1930,8,"Gabled, i.e., with two slopes",,,Baumann(1935); McCulloch(1951); ,89.193,
Ethnographic Atlas,Rwala,Cj2,xd588,Rwala (Cj2),33.0,37.0,33.0,37.0,nort3137,North Najdi,,Afro-Asiatic,ASIA-TEMPERATE,Western Asia,1920,8,"Gabled, i.e., with two slopes",,Unspecified,Raswan(1947); Musil(1928); Ashkenazi(1948); ,9.103,
Ethnographic Atlas,Blin,Ca37,xd445,Bogo (Ca37),16.0,36.0,16.0,36.0,bili1260,Bilin,byn,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1850,2,Dome shaped or hemispherical,,Bogo Tribe,Munzinger(1859); ,15.9045,
Ethnographic Atlas,Bubi,Ae44,xd165,Bubi (Ae44),3.54,8.72,4.0,9.0,bube1242,Bube,bvb,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Gil-Delgado(1949); Tessmann(1923); Baumann(1888); ,222.8615,
Ethnographic Atlas,Wichita,Nf5,xd1239,Wichita (Nf5),34.0,-98.0,34.0,-98.0,wich1260,Wichita,wic,Caddoan,NORTHERN AMERICA,South-Central U.S.A.,1860,3,Beehive shaped with pointed peak,,,Schmitt and Schmitt(1953); Schmitt(1952); Dorsey(1904a); Curtis(1930); ,54.51633333,
Ethnographic Atlas,Anaguta,Ah9,xd336,Anaguta (Ah9),10.0,9.0,10.0,9.0,igut1238,Iguta,nar,Atlantic-Congo,AFRICA,West Tropical Africa,1920,3,Beehive shaped with pointed peak,,,Diamond(1964); Gunn(1953); ,93.93233333,
Ethnographic Atlas,Trukese,If2,xd833,Trukese (If2),7.34,151.6,7.0,152.0,chuu1238,Chuukese,chk,Austronesian,PACIFIC,Northwestern Pacific,1940,9,"Hipped or pyramidal, i.e., with four slopes",,Romonum Island,Murdock et al.(1944a); Fischer(1950); Goodenough(1969); LeBar(1964); Goodenough(1949); Bollig(1927); Gladwin and Sarason(1953); ,313.1695,
Ethnographic Atlas,Rade,Ej10,xd717,Rhade (Ej10),13.0,108.0,13.0,108.0,rade1240,Rade,rad,Austronesian,ASIA-TROPICAL,Indo-China,1950,8,"Gabled, i.e., with two slopes",,Ko-Sier Village,Sabatier(1940); Donoghue et al.(1962); Donoghue(1972); Le Bar et al.(1964e); ,146.793,
Ethnographic Atlas,Hasinai,Nf8,xd1242,Hasinai (Nf8),31.0,-95.0,31.0,-95.0,cadd1256,Caddo,cad,Caddoan,NORTHERN AMERICA,South-Central U.S.A.,1770,3,Beehive shaped with pointed peak,,,Parson(1941); Griffith(1954); Swanton(1942b); Spier(1924); ,98.9285,
Ethnographic Atlas,Tututni,Nb31,xd1092,Tututni (Nb31),42.0,-124.0,42.0,-124.0,tutu1242,Tututni,tuu,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Northwestern U.S.A.,1870,8,"Gabled, i.e., with two slopes",,,Barnett(1937); Drucker(1936); Du Bois(1936); ,136.9405,
Ethnographic Atlas,Piaroa,Sc8,xd1351,Piaroa (Sc8),5.0,-67.0,5.0,-67.0,piar1243,Piaroa,pid,Jodi-Saliban,SOUTHERN AMERICA,Northern South America,1950,3,Beehive shaped with pointed peak,,,Wilbert(1958a); Wilbert(1963); ,213.275,
Ethnographic Atlas,Buye,Ac31,xd57,Buye (Ac31),-7.0,28.0,-7.0,28.0,buyu1239,Buyu,byi,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1910,9,"Hipped or pyramidal, i.e., with four slopes",,,Colle(1913); ,89.3565,
Ethnographic Atlas,Bunun,Ia10,xd733,Bunun (Ia10),24.0,121.0,24.0,121.0,bunu1267,Bunun,bnn,Austronesian,ASIA-TEMPERATE,Eastern Asia,1930,8,"Gabled, i.e., with two slopes",,,Mabuchi(1960); Chiu(1962); Mabuchi(1952); ,171.469,
Ethnographic Atlas,Lala,Ac33,xd59,Lala (Ac33),-15.0,31.0,-15.0,31.0,lala1264,Lala-Bisa,leb,Atlantic-Congo,AFRICA,South Tropical Africa,1940,4,Conical,,,Munday(1941); Lambo(1946); Whiteley(1951); ,65.73533333,
Ethnographic Atlas,Bororo,Si1,xd1397,Bororo (Si1),-16.0,-55.0,-16.0,-55.0,boro1282,Bororo,bor,Bororoan,SOUTHERN AMERICA,Brazil,1920,8,"Gabled, i.e., with two slopes",,Kejara,Steinen(1894); Fric and Radin(1906); Oberg(1953a); Lévi-Strauss(1936); ,112.603,
Ethnographic Atlas,Ngumba,Ae42,xd163,Ngumba (Ae42),3.0,11.0,3.0,11.0,kwas1243,Kwasio,nmg,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1900,8,"Gabled, i.e., with two slopes",,,Conradt(1902); Dugast(1949); ,150.8381667,
Ethnographic Atlas,Chamacoco,Sh6,xd1393,Chamacoco (Sh6),-20.0,-59.0,-20.0,-59.0,cham1315,Chamacoco,ceg,Zamucoan,SOUTHERN AMERICA,Southern South America,1890,6,"Shed, i.e., with one slope",,,Boggiani(1894); Baldus(1931); ,70.63466667,
Ethnographic Atlas,Navajo,Nh3,xd1279,Navaho (Nh3),37.0,-110.0,37.0,-110.0,nava1243,Navajo,nav,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Southwestern U.S.A.,1930,2,Dome shaped or hemispherical,,,Reichard(1928); Hill(1938); Goldfrank(1945b); Kluckhohn and Leighton(1946); Kluckhohn(1947); Franciscan Fathers(1910); Leighton and Kluckhohn(1947); ,14.67383333,
Ethnographic Atlas,Bira,Ae30,xd150,Bira (Ae30),1.0,29.0,1.0,29.0,bila1255,Bila,bip,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Czekanowski(1924g); Van Geluwe(1956); ,104.791,
Ethnographic Atlas,Somali,Ca2,xd426,Somali (Ca2),8.0,48.0,8.0,48.0,nort3051,Northern Somali,,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1950,2,Dome shaped or hemispherical,,Dolbahanta clan or subtribe,Lewis(1962b); Lewis(1962c); Lewis(1965a); Paulitschke(1888); Puccioni(1936); Lewis(1955); Lewis(1957); Lewis(1961); ,12.82083333,
Ethnographic Atlas,Kol,Eg8,xd684,Kol (Eg8),22.0,85.0,22.0,85.0,mund1320,Mundari,unr,Austroasiatic,ASIA-TROPICAL,Indian Subcontinent,1940,8,"Gabled, i.e., with two slopes",,,Griffiths(1946); ,104.412,
Ethnographic Atlas,Plains Bira,Ae34,xd154,Plains Bira (Ae34),1.0,30.0,1.0,30.0,bera1259,Bera,brf,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,3,Beehive shaped with pointed peak,,,Joset(1936); Czekanowski(1924g); Van Geluwe(1956); ,93.51733333,
Ethnographic Atlas,Turkana,Aj5,xd410,Turkana (Aj5),4.0,35.0,4.0,35.0,turk1308,Turkana,tuv,Nilotic,AFRICA,East Tropical Africa,1920,2,Dome shaped or hemispherical,,,Rayne(1919); Gulliver(1951); Gulliver(1955); White(1920); Elmley(1927); ,26.65916667,
Ethnographic Atlas,Shipibo-Conibo,Se9,xd1373,Conibo (Se9),-9.0,-74.0,-9.0,-74.0,ship1254,Shipibo-Conibo,shp,Pano-Tacanan,SOUTHERN AMERICA,Western South America,1920,9,"Hipped or pyramidal, i.e., with four slopes",,,Steward and Metraux(1948a); St. Cricq(1853); ,184.4553333,
Ethnographic Atlas,Bassari,Ag21,xd257,Bassari (Ag21),12.0,-13.0,12.0,-13.0,bass1258,Bassari,bsc,Atlantic-Congo,AFRICA,West Tropical Africa,1910,4,Conical,,,Lestrange(1950); ,132.0483333,
Ethnographic Atlas,Yungur,Ah33,xd324,Yungur (Ah33),10.0,12.0,10.0,12.0,voro1240,Voro,vor,Atlantic-Congo,AFRICA,West Tropical Africa,1920,4,Conical,,,Temple(1922); Meek(1931d); ,72.78,
Ethnographic Atlas,Kasonke,Ag23,xd259,Kasonke (Ag23),13.0,-11.0,13.0,-11.0,xaas1235,Xaasongaxango,kao,Mande,AFRICA,West Tropical Africa,1910,4,Conical,,,Monteil(1915); ,89.2375,
Ethnographic Atlas,Kewyipaya,Nh23,xd1274,Kewyipaya (Nh23),34.0,-111.0,34.0,-111.0,yava1252,Yavapai,,Cochimi-Yuman,NORTHERN AMERICA,Southwestern U.S.A.,1870,9,"Hipped or pyramidal, i.e., with four slopes",,,Gifford(1932); ,39.99383333,
Ethnographic Atlas,Puku,Ae47,xd168,Puku (Ae47),2.0,10.0,2.0,10.0,bata1285,Batanga,bnm,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1900,8,"Gabled, i.e., with two slopes",,,Oertzen(1903); Zeller(1885); ,194.0631667,
Ethnographic Atlas,Bannock,Nd63,xd1200,Bannock (Nd63),43.0,-112.0,43.0,-112.0,bann1248,Bannock,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1860,4,Conical,,with special reference to the Eastern Bannock,Lowie(1930); Steward(1943); Murphy and Murphy(1960); ,21.39333333,
Ethnographic Atlas,Bafute,Ah8,xd335,Wute (Ah8),6.0,12.0,6.0,12.0,vute1244,Vute,vut,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1910,4,Conical,,,Thorbecke(1916); Lembezat(1961); Sieber(1925); ,138.73,
Ethnographic Atlas,Yuki,Nc7,xd1138,Yuki (Nc7),40.0,-123.0,40.0,-123.0,yuki1243,Yuki,yuk,Yuki-Wappo,NORTHERN AMERICA,Southwestern U.S.A.,1850,4,Conical,,,Gifford(1922e); Foster(1944); Essene(1942); ,99.49783333,
Ethnographic Atlas,Bwaka,Ai23,xd352,Bwaka (Ai23),3.0,19.0,3.0,19.0,ngba1284,Ngbaka Ma'bo,nbm,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Crabbeck(1943); Burssens(1958); Tessman(1929); Poutrin(1910); ,135.0668333,
Ethnographic Atlas,Busama,Ie28,xd805,Busama (Ie28),-6.69,147.26,-7.0,147.0,buga1250,Bugawac,buk,Austronesian,ASIA-TROPICAL,Papuasia,1940,8,"Gabled, i.e., with two slopes",,,Hogbin(1946b); Hogbin(1946-47); ,357.6296667,
Ethnographic Atlas,Svan,Ci9,xd585,Svan (Ci9),43.0,43.0,43.0,43.0,svan1243,Svan,sva,Kartvelian,ASIA-TEMPERATE,Caucasus,1910,7,Flat or horizontal,,,Grigolia(1939); ,80.3315,
Ethnographic Atlas,Sugbuanon,Ia12,xd735,Sugbuhanon (Ia12),10.2,123.65,10.0,124.0,cebu1242,Cebuano,ceb,Austronesian,ASIA-TROPICAL,Malesia,1950,8,"Gabled, i.e., with two slopes",,,Hart(nd); Quijano(1937); Hart(1965); Svelmoe(1954); ,146.1573333,
Ethnographic Atlas,Ellice,Ii4,xd883,Ellice (Ii4),-7.48,178.68,-8.0,178.0,tuva1244,Tuvalu,tvl,Austronesian,PACIFIC,Southwestern Pacific,1890,8,"Gabled, i.e., with two slopes",,with special reference to the inhabitants of Vaitupu,Kennedy(1931); White(1965); ,259.2878333,
Ethnographic Atlas,Bongo,Ai35,xd365,Bongo (Ai35),7.0,29.0,7.0,29.0,bong1285,Bongo,bot,Central Sudanic,AFRICA,Northeast Tropical Africa,1870,4,Conical,,,Evans-Pritchard(1929); Schweinfurth(1874); Baxter and Butt(1953); ,83.67783333,
Ethnographic Atlas,Southern Paiute (Kaibab),Nd53,xd1189,Kaibab (Nd53),36.0,-113.0,36.0,-113.0,sout2969,Southern Paiute,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1860,4,Conical,,,Gifford(1917); Kelly(1938); Kelly(1964); Stewart(1942); ,23.093,
Ethnographic Atlas,Wai-wai,Sd7,xd1359,Waiwai (Sd7),1.0,-59.0,1.0,-59.0,waiw1244,Waiwai,waw,Cariban,SOUTHERN AMERICA,Brazil,1950,4,Conical,,,Fock(1963); ,151.8223333,
Ethnographic Atlas,Lele,Ac23,xd48,Lele (Ac23),-5.0,21.0,-5.0,21.0,lele1265,Lele (Democratic Republic of Congo),lel,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1950,8,"Gabled, i.e., with two slopes",,with special reference to the western Lele,Douglas(1962); Douglas(1963); Vansina(1954b); Tew(1951); Douglas(1952); ,132.0916667,
Ethnographic Atlas,Xhosa,Ab11,xd12,Xhosa (Ab11),-32.89,27.91,-33.0,28.0,xesi1238,Xesibe,,Atlantic-Congo,AFRICA,Southern Africa,1850,3,Beehive shaped with pointed peak,,,Soga(1932); Kropf(1889); Borwnlee(1927); ,58.02233333,
Ethnographic Atlas,Chakma,Ei10,xd697,Chakma (Ei10),23.0,92.0,23.0,92.0,chak1266,Chakma,ccp,Indo-European,ASIA-TROPICAL,Indian Subcontinent,1870,8,"Gabled, i.e., with two slopes",,,Lévi-Strauss(1952); Lewin(1869); Bessaignet(1958); ,213.7041667,
Ethnographic Atlas,Dena'ina,Na26,xd1042,Tanaina (Na26),62.0,-144.0,62.0,-144.0,tana1289,Tanaina,tfn,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Subarctic America,1870,8,"Gabled, i.e., with two slopes",,with special reference to the Iliamna,Osgood(1933); Osgood(1937); ,40.6065,
Ethnographic Atlas,Kpe,Ae2,xd138,Kpe (Ae2),4.22,9.27,4.0,9.0,mokp1239,Mokpwe,bri,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1950,8,"Gabled, i.e., with two slopes",,,Leuschner(1903); Ardener(1956); ,238.9943333,
Ethnographic Atlas,Zinza,Ad49,xd119,Zinza (Ad49),-3.0,31.0,-3.0,31.0,zinz1238,Zinza,zin,Atlantic-Congo,AFRICA,East Tropical Africa,1950,3,Beehive shaped with pointed peak,,,Taylor(1962); ,82.16883333,
Ethnographic Atlas,Lesu,Ig4,xd856,Lesu (Ig4),-3.06,151.66,-3.0,153.0,nots1237,Notsi,ncf,Austronesian,ASIA-TROPICAL,Papuasia,1930,8,"Gabled, i.e., with two slopes",,Lesu Village,Powdermaker(1931a); Powdermaker(1931b); Powdermaker(1932); Powdermaker(1933); ,289.6861667,
Ethnographic Atlas,Tetela,Ae25,xd144,Tetela (Ae25),-4.0,25.0,-4.0,25.0,tete1250,Tetela,tll,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,with special reference to the northern Tetela,Van der Kerken(1944); Torday and Joyce(1922b); Heusch(1955); ,125.2925,
Ethnographic Atlas,Birom,Ah17,xd306,Birom (Ah17),10.0,9.0,10.0,9.0,bero1242,Berom,bom,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Gunn(1953); ,93.93233333,
Ethnographic Atlas,Sherpa,Ee6,xd658,Sherpa (Ee6),28.0,87.0,28.0,87.0,sher1255,Sherpa,xsr,Sino-Tibetan,ASIA-TEMPERATE,China,1950,8,"Gabled, i.e., with two slopes",,with special reference to those of Khumbu,Furer-Haimendorf(1964); ,87.44666667,
Ethnographic Atlas,Yaka,Ac20,xd45,Yaka (Ac20),-7.0,17.0,-7.0,17.0,yaka1269,Yaka (Democratic Republic of Congo),yaf,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Milheiros(1956); Torday and Joyce(1906); Plancquaert(1932); ,108.4461667,
Ethnographic Atlas,Kamuku,Ah14,xd303,Kamuku (Ah14),11.0,6.0,11.0,6.0,cind1241,Cinda-Regi-Tiyal,cdr,Atlantic-Congo,AFRICA,West Tropical Africa,1920,4,Conical,,,Gunn and Conant(1960); ,84.51,
Ethnographic Atlas,Quileute,Nb18,xd1077,Quileute (Nb18),47.91,-124.59,48.0,-125.0,quil1240,Quileute,qui,Chimakuan,NORTHERN AMERICA,Northwestern U.S.A.,1880,8,"Gabled, i.e., with two slopes",,,Pettitt(1950); ,177.964,
Ethnographic Atlas,Banen,Ae51,xd173,Banen (Ae51),5.0,11.0,5.0,11.0,tune1261,Tunen,tvu,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1940,8,"Gabled, i.e., with two slopes",,Ndiki subtribe,Dugast(1959); Tessmann(1934); McCulloch et al.(1954); Dugast(1944); Dugast(1955); ,154.4213333,
Ethnographic Atlas,Budu,Ae31,xd151,Budu (Ae31),2.0,28.0,2.0,28.0,budu1250,Budu,buu,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Van Geluw(1960); Czekanowski(1924i); ,132.6138333,
Ethnographic Atlas,Taíno,Sb8,xd1333,Taino (Sb8),19.94,-75.37,19.0,-75.0,tain1254,Taino,tnq,Arawakan,SOUTHERN AMERICA,Caribbean,1520,4,Conical,,,Rouse(1948a); ,134.8185,
Ethnographic Atlas,Sinkyone,Nb39,xd1100,Sinkyone (Nb39),39.73,-123.6,40.0,-124.0,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,NORTHERN AMERICA,Southwestern U.S.A.,1860,9,"Hipped or pyramidal, i.e., with four slopes",,,Nomland(1935); Driver(1939); ,110.6,
Ethnographic Atlas,Kamayurá,Si5,xd1402,Camayura (Si5),-12.0,-54.0,-12.0,-54.0,kama1373,Kamayurá,kay,Tupian,SOUTHERN AMERICA,Brazil,1940,9,"Hipped or pyramidal, i.e., with four slopes",,,Oberg(1953a); ,169.1941667,
Ethnographic Atlas,Balanta,Ag15,xd250,Balante (Ag15),12.0,-16.0,12.0,-16.0,bala1301,Balanta-Kentohe,ble,Atlantic-Congo,AFRICA,West Tropical Africa,1930,4,Conical,,,Bernatzik(1933); ,140.8308333,
Ethnographic Atlas,Kalispel,Nd13,xd1145,Kalispel (Nd13),49.0,-117.0,49.0,-117.0,kali1309,Kalispel,,Salishan,NORTHERN AMERICA,Western Canada,1860,8,"Gabled, i.e., with two slopes",,,Teit(1930); Ray(1942); ,85.17433333,
Ethnographic Atlas,Gbande,Af54,xd235,Gbande (Af54),8.0,-10.0,8.0,-10.0,band1352,Bandi,bza,Mande,AFRICA,West Tropical Africa,1930,4,Conical,,,Germann(1933); Schwab(1947); ,211.779,
